time us,CH1 mV
1.14E-01,-28
1.15E-01,0
1.15E-01,-3.2
1.16E-01,10.4
1.16E-01,8.8
1.16E-01,8.8
1.17E-01,15.2
1.17E-01,20
1.18E-01,8.8
1.18E-01,8
1.18E-01,8
1.19E-01,23.2
1.19E-01,31.2
1.20E-01,14.4
1.20E-01,-1.6
1.20E-01,13.6
1.21E-01,42.4
1.21E-01,19.2
1.22E-01,-8.8
1.22E-01,-13.6
1.22E-01,20
1.23E-01,-0.8
1.23E-01,-8
1.24E-01,-0.8
1.24E-01,12
1.24E-01,4.8
1.25E-01,-4.8
1.25E-01,0
1.26E-01,-1.6
1.26E-01,-12
1.26E-01,-11.2
1.27E-01,-10.4
1.27E-01,-20
1.28E-01,-20.8
1.28E-01,-6.4
1.28E-01,-23.2
1.29E-01,-21.6
1.29E-01,-30.4
1.30E-01,-7.2
1.30E-01,-12
1.30E-01,12
1.31E-01,-4.8
1.31E-01,5.6
1.32E-01,12.8
1.32E-01,-15.2
1.32E-01,-9.6
1.33E-01,2.4
1.33E-01,29.6
1.34E-01,23.2
1.34E-01,-8.8
1.34E-01,8
1.35E-01,-2.4
1.35E-01,4.8
1.36E-01,12
1.36E-01,0
1.36E-01,-18.4
1.37E-01,-5.6
1.37E-01,-3.2
1.38E-01,12
1.38E-01,-12
1.38E-01,-11.2
1.39E-01,6.4
1.39E-01,4.8
1.40E-01,15.2
1.40E-01,0
1.40E-01,3.2
1.41E-01,-6.4
1.41E-01,-7.2
1.42E-01,11.2
1.42E-01,-12.8
1.42E-01,4
1.43E-01,-20.8
1.43E-01,-21.6
1.44E-01,-22.4
1.44E-01,-44.8
1.44E-01,-61.6
1.45E-01,-24
1.45E-01,-1.6
1.46E-01,-28.8
1.46E-01,-0.8
1.46E-01,3.2
1.47E-01,20
1.47E-01,-10.4
1.48E-01,-17.6
1.48E-01,-12
1.48E-01,-17.6
1.49E-01,-8
1.49E-01,-12.8
1.50E-01,-21.6
1.50E-01,-2.4
1.50E-01,-12
1.51E-01,13.6
1.51E-01,11.2
1.52E-01,-9.6
1.52E-01,-4.8
1.52E-01,-38.4
1.53E-01,-28
1.53E-01,5.6
1.54E-01,-12.8
1.54E-01,-18.4
1.54E-01,-6.4
1.55E-01,4
1.55E-01,5.6
1.56E-01,22.4
1.56E-01,-4.8
1.56E-01,-28
1.57E-01,-4.8
1.57E-01,7.2
1.58E-01,-20.8
1.58E-01,-8
1.58E-01,-12
1.59E-01,-4
1.59E-01,-0.8
1.60E-01,-0.8
1.60E-01,-6.4
1.60E-01,-32
1.61E-01,-24
1.61E-01,16.8
1.62E-01,3.2
1.62E-01,7.2
1.62E-01,2.4
1.63E-01,-9.6
1.63E-01,-26.4
1.64E-01,-14.4
1.64E-01,-12.8
1.64E-01,-5.6
1.65E-01,-6.4
1.65E-01,-9.6
1.66E-01,-6.4
1.66E-01,8
1.66E-01,12.8
1.67E-01,16
1.67E-01,10.4
1.68E-01,14.4
1.68E-01,10.4
1.68E-01,-5.6
1.69E-01,14.4
1.69E-01,24.8
1.70E-01,19.2
